LINE,ACCESSION,TREATMENT,DAY,PERIMETER,AREA,ROUNDNESS,COMPACTNESS, ECCENTRICITY,RMS,SOL
LN16,Col0,Control,0,168.4598773,179.6992,0.079572508,0.391647604,0.239848197,0.565245954,20.89735736
LN14,Rsch,Control,0,169.5524256,166.1312,0.072619466,0.382816187,0.352369551,0.745302774,18.87664689
LN12,Ler,Control,0,112.9434449,156.2624,0.153936743,0.557315681,0.213518128,0.623238429,6.751146789
LN10,Col0,Control,0,197.0535856,289.5232,0.093696755,0.391474411,0.3251077,0.744641473,20.62770237
LN8,Can,Control,0,121.0665732,130.7392,0.112090082,0.5057938,0.208824183,0.309269575,8.967299785
LN17,C24,Control,0,165.3990865,158.7968,0.072943298,0.400361442,0.16287825,0.664407795,16.61147832
LN15,Te,Control,0,183.7073114,222.8992,0.082997592,0.386342459,0.191287786,0.65051704,16.49718617
LN13,Nd,Control,0,110.2508965,78.5152,0.08117071,0.4117884,0.249164388,0.675213855,18.31398761
LN11,Cvi,Control,0,67.54778574,60.6848,0.167135057,0.534679147,0.245306951,0.542703191,10.39822822
LN9,Co,Control,0,198.8316173,218.7648,0.069537075,0.412596866,0.22213827,0.736584733,22.24515827
LN8,Can,Salt,0,99.30267155,92.672,0.118096366,0.505939902,0.304066094,0.578208909,14.86850829
LN15,Te,Salt,0,174.6175223,185.9456,0.076633759,0.437876778,0.276265669,0.641472236,18.44234873
LN11,Cvi,Salt,0,86.09836573,57.3568,0.097231047,0.381686542,0.242827285,0.606452924,13.20419549
LN13,Nd,Salt,0,153.9689107,146.0864,0.077437902,0.384729479,0.209445585,0.641085831,19.43205117
LN10,Col0,Salt,0,140.9492973,159.0912,0.10063063,0.438582872,0.447495266,0.865114398,14.48225923
LN14,Rsch,Salt,0,147.546169,160.1664,0.092453936,0.337505057,0.429263116,0.78390491,21.17733557
LN17,C24,Salt,0,222.9198247,259.072,0.065513825,0.402545744,0.188248868,0.337913619,26.51422925
LN9,Co,Salt,0,171.4790865,174.3104,0.074492207,0.390267668,0.159955327,0.426387236,19.67337348
LN12,Ler,Salt,0,135.0500882,218.0864,0.15026184,0.558677903,0.242372756,0.77634405,8.877215636
LN16,Col0,Salt,0,146.8712481,124.3648,0.072449229,0.335335128,0.269895102,0.796502322,27.12412515
LN15,Te,Control,0,212.1429706,224.32,0.062635503,0.377889426,0.253231432,0.671374966,19.56017118
LN16,Col0,Control,0,173.4606506,134.592,0.056211758,0.30245937,0.415878096,0.808220523,30.73780314
LN13,Nd,Control,0,109.0030582,107.1104,0.113282843,0.410175972,0.295160191,0.571126781,15.29851816
LN11,Cvi,Control,0,73.19131824,52.608,0.123407774,0.368576809,0.280520008,0.713828798,7.725547445
LN9,Co,Control,0,189.7778914,200.32,0.06989449,0.400727198,0.299719554,0.612896109,20.96166134
LN17,C24,Control,0,128.4104923,142.5792,0.108658828,0.482960458,0.253330721,0.612119483,14.27848101
LN14,Rsch,Control,0,135.5669598,115.9936,0.079311503,0.365197066,0.263812155,0.570625913,18.81792099
LN12,Ler,Control,0,102.5936382,135.0912,0.161285773,0.620458554,0.224585062,0.513147679,8.678415767
LN10,Col0,Control,0,116.5799124,96.832,0.089532625,0.402243845,0.27570264,0.810450118,14.47614012
LN8,Can,Control,0,83.14738155,70.1696,0.127544493,0.345693026,0.524655145,0.753101677,18.14264867
LN14,Rsch,Salt,0,119.734429,108.1984,0.094840232,0.351052785,0.248301246,0.682763926,15.8715249
LN11,Cvi,Salt,0,83.34149405,42.4832,0.076860733,0.207619167,0.549578227,0.808678576,25.07743296
LN16,Col0,Salt,0,158.6469248,164.1728,0.081968644,0.401993355,0.286062868,0.613341544,19.65148916
LN9,Co,Salt,0,162.5645698,193.3056,0.09191841,0.4495178,0.213915327,0.622308821,18.42524169
LN17,C24,Salt,0,144.1265557,158.7072,0.096010444,0.421519633,0.287780975,0.750153623,14.22840552
LN12,Ler,Salt,0,122.5567665,148.7872,0.124480363,0.464402717,0.164085355,0.659945921,13.10667584
LN15,Te,Salt,0,164.1967315,187.008,0.087164779,0.415162968,0.391537299,0.809370395,14.81738535
LN13,Nd,Salt,0,115.6814765,99.328,0.093272563,0.354726641,0.288962725,0.670051784,16.49716495
LN10,Col0,Salt,0,156.6492798,154.8032,0.079274405,0.359096173,0.269538462,0.795533721,15.08252026
LN8,Can,Salt,0,83.19562407,89.1264,0.16181369,0.538306919,0.202516579,0.513384241,6.63622002
LN14,Rsch,Control,0,122.1912832,120.0896,0.10107292,0.373412935,0.321533923,0.714530663,13.2170113
