LINE,ACCESSION,TREATMENT,DAY,PERIMETER,AREA,ROUNDNESS,COMPACTNESS, ECCENTRICITY,RMS,SOL,Fo,Fm,Fm_Lss1,Fm_Lss2,Fm_Lss3,Fm_Lss4,Ft_Lss1,Ft_Lss2,Ft_Lss3,Ft_Lss4,Fo_Lss1,Fo_Lss2,Fo_Lss3,Fo_Lss4,QY_max,FvFm_Lss1, FvFm_Lss2, FvFm_Lss3,FvFm_Lss4, QY_Lss1,QY_Lss2, QY_Lss3, QY_Lss4, NPQ_Lss1, NPQ_Lss2,  NPQ_Lss3, NPQ_Lss4,qN_Lss1, qN_Lss2,qN_Lss3,qN_Lss4,qP_Lss1,qP_Lss2,qP_Lss3,qP_Lss4,qL_Lss1,qL_Lss2,qL_Lss3,qL_Lss4,ETR1,ETR2,ETR3,ETR4
id1,Col0,Control,0,168.4598773,179.6992,0.079572508,0.391647604,0.239848197,0.565245954,20.89735736,40.41981125,234.068924,124.5178223,98.75078583,100.8087006,98.34119415,62.74245453,58.47782898,61.41320801,63.1113205,35.04919052,32.65046692,32.84753036,32.59327316,0.826910675,0.717575371,0.668961406,0.67284137,0.667374313,0.494874984,0.407054365,0.38960892,0.35637334,0.884768069,1.370426178,1.328254819,1.385191441,0.549239218,0.670152247,0.661666989,0.673568726,0.689660132,0.608626425,0.579103291,0.534146309,1.234272122,1.089025855,1.079854488,1.031861663,26.00637245,39.92568588,55.95462036,67.40816498
id2,Rsch,Control,0,169.5524256,166.1312,0.072619466,0.382816187,0.352369551,0.745302774,18.87664689,40.58804703,234.1602478,141.9630432,118.157814,118.3001328,105.6872482,67.47012329,64.80956268,68.96852875,67.30796814,36.43930817,34.58232498,34.61018372,33.45019913,0.826683998,0.742348135,0.706071615,0.706426263,0.682733655,0.522330046,0.449302942,0.415535271,0.362141967,0.659482241,0.993847787,0.987688005,1.226131439,0.466259807,0.57747364,0.578183711,0.637303948,0.703691244,0.636117935,0.588555455,0.53082335,1.307155609,1.195592999,1.173398733,1.065905452,27.44917297,44.0696106,59.67809677,68.49930573
id3,Ler,Control,0,112.9434449,156.2624,0.153936743,0.557315681,0.213518128,0.623238429,6.751146789,47.06899261,269.7060852,113.7314835,104.8585281,111.6089554,101.473732,66.47364044,65.68294525,70.26550293,71.5003891,37.94436264,36.88957977,37.7057724,36.48645782,0.825236261,0.66622591,0.648255229,0.662162781,0.640544653,0.413166821,0.373291135,0.369595349,0.295665056,1.373160958,1.571759224,1.415459394,1.656135678,0.670299232,0.704815209,0.679220736,0.719799936,0.61955148,0.575389564,0.558026135,0.461596906,1.084489942,1.020660162,1.035133362,0.896073341,21.7124958,36.61403656,53.08032227,55.92516327
id4,Col0,Control,0,197.0535856,289.5232,0.093696755,0.391474411,0.3251077,0.744641473,20.62770237,45.17102814,266.302063,127.098259,102.571907,101.4819565,102.0041504,68.43621826,64.83761597,65.70537567,67.95513916,38.05509567,35.45829391,35.28173828,35.34630203,0.829667568,0.699633777,0.653959572,0.650932252,0.651586652,0.460055918,0.367709786,0.351401776,0.331489921,1.096967697,1.591738105,1.62535727,1.615826011,0.607773781,0.703139007,0.707723379,0.707206309,0.657516897,0.561659157,0.53887099,0.507933855,1.183003664,1.027081251,1.004746318,0.97610569,24.17658234,36.06659698,50.46741104,62.70145035
id5,Can,Control,0,121.0665732,130.7392,0.112090082,0.5057938,0.208824183,0.309269575,8.967299785,33.45773315,197.7806396,118.4301224,95.48110199,92.38373566,81.17440033,56.47164917,53.11288834,55.17164993,53.36546326,30.00548935,28.25678825,27.98092842,26.86931992,0.830799222,0.745600998,0.703039408,0.6963076,0.669133306,0.521130264,0.441549867,0.401931018,0.341729939,0.678668618,1.079686284,1.146111012,1.434155941,0.471869141,0.601107061,0.618622065,0.679367661,0.699070096,0.627648294,0.576847196,0.51022023,1.318266034,1.178316355,1.132227182,1.007011414,27.38612366,43.30915451,57.72428513,64.63835907
id6,C24,Control,0,165.3990865,158.7968,0.072943298,0.400361442,0.16287825,0.664407795,16.61147832,40.45672989,232.3418732,108.5793228,89.74866486,87.87152863,83.89663696,58.77836609,57.75624847,59.27067184,59.88220978,33.54393005,31.4414196,31.12882996,30.6883564,0.825351715,0.685591877,0.643712163,0.637611985,0.628533363,0.45191896,0.348350167,0.317559034,0.282961965,1.180021048,1.636842847,1.715401649,1.816887259,0.621555805,0.707572103,0.715972364,0.733954668,0.65801686,0.538301706,0.495370716,0.450323761,1.152746558,0.987231195,0.941249073,0.874599397,23.74897385,34.16771698,45.60700226,53.52236938
id7,Te,Control,0,183.7073114,222.8992,0.082997592,0.386342459,0.191287786,0.65051704,16.49718617,47.5,271.3468323,131.0309448,104.6001587,104.176033,100.1830139,69.33457184,64.75800323,66.858284,67.59799957,39.87914658,36.95616531,36.89678192,36.49892807,0.824473321,0.693793416,0.643889964,0.642604709,0.634918153,0.468382299,0.375926644,0.35438472,0.323305547,1.081773043,1.616758943,1.631416321,1.709149361,0.602250874,0.706905901,0.709472656,0.726718664,0.674618542,0.582272291,0.550603211,0.509332418,1.174352765,1.021684647,0.997706294,0.942346752,24.61414528,36.87253952,50.89581299,61.15337372
id8,Nd,Control,0,110.2508965,78.5152,0.08117071,0.4117884,0.249164388,0.675213855,18.31398761,43.45439911,255.6155548,136.2671051,113.2311096,112.1977768,101.7320023,69.17279816,68.1088028,70.0223999,68.3647995,37.75618362,35.69100571,35.57978439,34.51104355,0.829299212,0.720398962,0.681812882,0.679703355,0.659412861,0.4891285,0.394571513,0.372682244,0.326528519,0.890221,1.277531624,1.299218893,1.517255425,0.54827714,0.645739615,0.650478542,0.69414115,0.678640366,0.577945173,0.547635615,0.495056629,1.241580486,1.100541234,1.072847486,0.974624991,25.70438576,38.7013092,53.52365494,61.7630043
id9,Cvi,Control,0,67.54778574,60.6848,0.167135057,0.534679147,0.245306951,0.542703191,10.39822822,42.48059845,241.0472565,116.7728043,100.901329,100.6931992,95.60862732,63.45970154,60.82686615,63.22686386,63.47910309,35.5891571,33.74654007,33.64332199,33.20042038,0.823620319,0.69215709,0.657776177,0.656163216,0.647274375,0.453025222,0.389987558,0.363162935,0.335648477,1.085007429,1.455391049,1.481309056,1.572524428,0.602348864,0.672721386,0.672537088,0.694867671,0.65442735,0.591016591,0.551579714,0.519995511,1.165416718,1.059815645,1.036240697,0.987178147,23.80710793,38.25169373,52.15651703,63.48804855
id10,Co,Control,0,198.8316173,218.7648,0.069537075,0.412596866,0.22213827,0.736584733,22.24515827,42.60559082,256.0238037,113.8800888,93.41770172,92.35403442,90.46583557,64.1878891,61.22608566,61.95993805,62.47204971,35.0895195,32.79113007,32.55983734,32.3515892,0.833036423,0.687165201,0.642711759,0.638310194,0.634313285,0.430136114,0.336886734,0.319503903,0.303427964,1.281898975,1.794218063,1.85697484,1.905561209,0.643013597,0.727610767,0.731957495,0.739485264,0.624895394,0.522132337,0.498270571,0.477458656,1.141406894,0.971350908,0.945689678,0.917900681,22.60425568,33.04333496,45.88631821,57.39352417
id11,Can,Salt,0,99.30267155,92.672,0.118096366,0.505939902,0.304066094,0.578208909,14.86850829,36.03100586,217.3996582,119.1929398,97.41343689,96.21016693,84.90180969,59.66744232,56.42325592,59.13023376,57.25891495,31.65388107,29.85053635,29.72418976,28.57448959,0.833696306,0.732995331,0.692037702,0.68952775,0.662709236,0.498301953,0.419254512,0.38355127,0.324997187,0.830306947,1.239821434,1.26682651,1.561856031,0.527347207,0.63675499,0.642024457,0.698712289,0.679880559,0.605535388,0.55572933,0.490373135,1.280882597,1.142083168,1.103253603,0.977127314,26.18646431,41.1223259,55.08463287,61.47335052
id12,Te,Salt,0,174.6175223,185.9456,0.076633759,0.437876778,0.276265669,0.641472236,18.44234873,47.36069107,273.3808289,136.0235596,110.4235611,109.0155182,101.2900391,70.24414063,67.12862396,68.95069122,68.22551727,40.16368866,37.43915176,37.28836823,36.47748184,0.82625097,0.703107476,0.656636894,0.654155076,0.638939977,0.481030524,0.385234416,0.36393103,0.326012164,1.019199967,1.513593674,1.540244818,1.702152967,0.581912637,0.683292687,0.688911617,0.72176218,0.6833148,0.583716154,0.554724097,0.510002136,1.196234345,1.045346022,1.025149345,0.951252043,25.27882576,37.78548431,52.26682663,61.66532898
id13,Cvi,Salt,0,86.09836573,57.3568,0.097231047,0.381686542,0.242827285,0.606452924,13.20419549,42.90000153,247.2131958,127.2944489,108.8055573,106.7506943,98.85416412,64.44999695,61.26625061,63.42375183,63.14374924,36.75021744,34.86941147,34.69791031,33.91242599,0.826016545,0.70832926,0.674387574,0.672173679,0.656788111,0.488791853,0.427788436,0.404136002,0.359112293,0.964066505,1.316094518,1.337336898,1.497063875,0.568956733,0.646825314,0.653006136,0.688257992,0.689730763,0.632625461,0.600884974,0.546767652,1.212713361,1.116060734,1.096848845,1.014482617,25.6866951,41.95937347,58.04096222,67.92623901
id14,Nd,Salt,0,153.9689107,146.0864,0.077437902,0.384729479,0.209445585,0.641085831,19.43205117,42.34999847,249.2670593,139.7702179,123.7962952,121.1639862,105.5141296,65.52017212,65.42631531,69.49034882,66.86096191,37.32271576,36.03486252,35.83317184,34.34453583,0.829832077,0.731061399,0.706153989,0.702319026,0.673801184,0.527730048,0.4678877,0.4259215,0.366419941,0.799702048,1.038505316,1.072937608,1.366297126,0.51700139,0.587960541,0.600042284,0.667354763,0.721564472,0.66210258,0.606634319,0.543559492,1.267642736,1.200553775,1.170089126,1.051886559,27.73295212,45.89248657,61.16973877,69.30847931
id15,Col0,Salt,0,140.9492973,159.0912,0.10063063,0.438582872,0.447495266,0.865114398,14.48225923,42.96908188,252.0008087,130.7224884,105.0340881,108.0351563,99.86419678,66.34734344,61.78889084,64.68260956,64.28840637,37.07214737,34.65237427,34.95891953,34.07148361,0.82905829,0.715578854,0.669826984,0.675720453,0.658810377,0.491521806,0.411496013,0.400971562,0.355975568,0.930954397,1.395683527,1.332484722,1.518774271,0.563236952,0.673693299,0.661039114,0.695067763,0.686879396,0.614215434,0.593350291,0.540215313,1.227753878,1.093237638,1.095180392,1.016914964,25.83015823,40.36133957,57.58649063,67.33292389
id16,Rsch,Salt,0,147.546169,160.1664,0.092453936,0.337505057,0.429263116,0.78390491,21.17733557,34.24626923,198.9506683,110.4174957,90.17951965,90.59950256,82.24046326,54.33581924,52.03805923,54.54029846,53.15597153,30.02738762,28.22255325,28.30004883,27.46460533,0.827731013,0.727132261,0.684661686,0.685985982,0.665811837,0.506337881,0.419890225,0.395294815,0.353301406,0.809105456,1.228640914,1.210957766,1.421792269,0.519960284,0.630984962,0.630699158,0.676763356,0.696014047,0.612317204,0.576218545,0.531165659,1.261490107,1.130790591,1.112982631,1.026911616,26.60876274,41.18468094,56.77121353,66.82710266
id17,C24,Salt,0,222.9198247,259.072,0.065513825,0.402545744,0.188248868,0.337913619,26.51422925,40.83473587,243.2555542,122.8460541,102.3660812,96.29649353,87.42572784,62.49026489,60.3181572,60.83868408,60.08473587,34.86444092,32.89425278,32.2535553,31.2685051,0.831479132,0.711213827,0.672101557,0.659398496,0.639216125,0.48478657,0.4029302,0.363995254,0.310842872,1.019447207,1.437355876,1.576417208,1.806067467,0.574828148,0.665191829,0.692265868,0.731461763,0.680613279,0.597479522,0.551355541,0.486297488,1.220847845,1.094584346,1.037070274,0.931044221,25.47621155,39.52116776,52.27605057,58.79605484
id18,Co,Salt,0,171.4790865,174.3104,0.074492207,0.390267668,0.159955327,0.426387236,19.67337348,43.59199905,258.8646545,121.6699982,97.85066986,94.40511322,88.67578125,65.25479889,61.87039948,62.59680176,62.26240158,36.44905853,33.89001846,33.37387848,32.70029831,0.830923557,0.69521749,0.647613525,0.638263583,0.62569952,0.457246989,0.360356212,0.33014223,0.295771182,1.168307304,1.70082736,1.818187475,1.96600306,0.616763175,0.713364482,0.72698158,0.74979037,0.656946242,0.554745674,0.515915334,0.473293066,1.174968362,1.009026289,0.963191271,0.895366788,24.02896881,35.34532166,47.41416931,55.94524002
id19,Ler,Salt,0,135.0500882,218.0864,0.15026184,0.558677903,0.242372756,0.77634405,8.877215636,42.39189911,250.6881256,124.2852173,119.9454803,121.9042892,104.052269,61.57694626,62.23520279,66.74485779,63.70155716,36.1095314,35.68580627,35.92881012,34.20033264,0.830293298,0.70786202,0.699714959,0.704460263,0.671697438,0.50087744,0.476436317,0.451597691,0.38739419,1.027858973,1.113425016,1.059473515,1.400003314,0.586127102,0.604607761,0.596687376,0.672539115,0.707261086,0.680238366,0.641002655,0.576519668,1.208071828,1.187348723,1.189413548,1.073579073,26.32180786,46.73097229,64.85728455,73.27577209
id20,Col0,Salt,0,146.8712481,124.3648,0.072449229,0.335335128,0.269895102,0.796502322,27.12412515,38.50442505,225.5535889,117.3077698,95.28761292,97.46067047,93.04621124,59.79822922,55.33097458,58.41504288,59.35840607,33.22364044,31.13923073,31.32789612,30.93210411,0.828150749,0.715180814,0.672141552,0.676224053,0.667888522,0.487923592,0.417711675,0.397369325,0.36175698,0.926322401,1.37086308,1.330092072,1.408962965,0.560705006,0.662936687,0.652340591,0.674526811,0.682235241,0.620676994,0.587152541,0.541779757,1.228261471,1.102044463,1.096386909,1.040050268,25.6410675,40.97100067,57.06914902,68.42648315
id21,Te,Control,0,212.1429706,224.32,0.062635503,0.377889426,0.253231432,0.671374966,19.56017118,40.63021469,233.0479584,98.64768219,79.63309479,80.09372711,81.30715179,57.34100723,54.56187057,54.9618721,56.50899124,32.76559448,30.33205223,30.37911797,30.59131241,0.825175941,0.666926503,0.617892444,0.618772089,0.622509181,0.417234868,0.313134134,0.311471492,0.303856671,1.367887974,1.936760306,1.929165483,1.876705289,0.667257726,0.753302634,0.751205027,0.747268081,0.625313282,0.505417109,0.502415359,0.487817526,1.094035029,0.904820442,0.906006277,0.898106992,21.92627716,30.71357346,44.73272324,57.47461319
